exposure	metabolite	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	meta_direction
bmi	lvldlfc	Free cholesterol in large VLDL (mmol/l)	0.0969341167197916	0.0183014938377885	1.18034349845353e-07	0.0165783559553257	0.0127831991723127	0.194670308885951	4.27127995070072e-07	0.00702158093844661	0.00034847011961908	1.6154658560839e-85	+ + + +
bmi	lvldll	Total lipids in large VLDL (mmol/l)	0.114856248026416	0.0186625427586123	7.53751280955007e-10	0.0533351424699475	0.014156175141481	0.000164808810783642	3.81577542524876e-12	0.0615272400782779	0.00299898023133724	2.03473126054185e-88	+ + + +
bmi	lvldlp	Concentration of large VLDL particles (mol/l)	0.10829219182702	0.0188102400967868	8.55777283313235e-09	0.0369182020678983	0.0138448956219812	0.00766326310696003	1.60329436680662e-09	1.041677953663e-09	5.05186373879662e-11	3.02565991273213e-89	+ + + +
bmi	lvldlpl	Phospholipids in large VLDL (mmol/l)	0.104208437445592	0.0181864003570168	1.00418804638879e-08	0.0369182020678983	0.0138448956219812	0.00766326310696003	1.86903441753613e-09	0.0111313212611174	0.00054305219523044	2.8494828758363e-88	+ + + +
bmi	lvldltg	Triglycerides in large VLDL (mmol/l)	0.103696757903626	0.0180634842231371	9.42948089952406e-09	0.0088206294601617	0.0128620871438346	0.492848548124517	9.38150640738736e-08	0.0365648899127885	0.00177429956723228	3.7470270300829e-89	+ + + +
bmi	mhdlc	Total cholesterol in medium HDL (mmol/l)	-0.070904826692456	0.0179482860704551	7.79858725355653e-05	-0.0598814191727757	0.0133395102365278	7.15492908336352e-06	1.24467635244261e-08	-0.00742459073941548	0.00138331149676297	8.5143430723645e-08	- - - -
bmi	mhdlce	Cholesterol esters in medium HDL (mmol/l)	-0.074988822950966	0.0182760789497796	4.07627469946269e-05	-0.0598814191727757	0.0133395102365278	7.15492908336352e-06	6.69506205667168e-09	-0.00617568673615976	0.00109945907694131	2.0943878714601e-08	- - - -
bmi	mhdlfc	Free cholesterol in medium HDL (mmol/l)	-0.0635927639249573	0.0177772560630323	0.00034729717371153	-0.0665472819185414	0.0137432638678118	1.28425900119757e-06	1.00491134747605e-08	-0.0012617405429434	0.000300067139603637	2.67786529239703e-05	- - - -
bmi	mhdll	Total lipids in medium HDL (mmol/l)	-0.0493575342476396	0.0177364111372644	0.00538859354559375	-0.0448118391729167	0.0137398559270253	0.00110844375648291	7.78172375416544e-05	-0.00430455664002887	0.00262121598674469	0.100638785623226	- - - -
bmi	mufa	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	0.0715320301451254	0.021918067849108	0.0011000238911462	0.0702679262160506	0.0137603653152773	3.28102311035962e-07	8.20818258080275e-09	0.206244946190823	0.0125176553362765	8.44217336636668e-59	+ + + +
